Year,N_y_A,N_m_A,N_o_A,psi_y_A,psi_o_A,n_m_A,psi_y_A_s,psi_o_A_s,n_m_A_s,gamma_A_path,phi_A_path
2050,NaN,NaN,NaN,0.101394617383718,0.562232019713101,-0.00780573201430171,0.101469666001386,0.564541512155264,-0.00721259288691337,0.964675403405381,0.0192445022093966
2051,NaN,NaN,NaN,0.100591445326009,0.570715449333572,-0.00785759110403439,0.101242477646802,0.574231196368235,-0.00762721903788815,0.965121957418248,0.019294546292742
2052,NaN,NaN,NaN,0.100530668946618,0.579780961117415,-0.00756429935343497,0.101175889892473,0.58414719227682,-0.00799285983962338,0.965600944619654,0.019373223067972
2053,NaN,NaN,NaN,0.101130116428373,0.587409076442624,-0.00766219642883409,0.101255130562634,0.594255129637086,-0.00830585251159444,0.966056743295341,0.01947340846816
2054,NaN,NaN,NaN,0.101856712183924,0.599339697564385,-0.00817701715253413,0.10145977608381,0.604473791866943,-0.0085589525797391,0.966420146339142,0.0195872822214505
2055,NaN,NaN,NaN,0.102489944999329,0.61824939012281,-0.00920462673313682,0.101768143048549,0.614659867202076,-0.00873921671436472,0.966606376121578,0.0197109483247814
2056,NaN,NaN,NaN,0.102266024699938,0.631287676503527,-0.00996744048931147,0.102162225713064,0.624629988478368,-0.00883082955249115,0.966573578686926,0.0198455340722498
2057,NaN,NaN,NaN,0.10213995265546,0.64025604506975,-0.00994260686089446,0.102629721941127,0.634227525375819,-0.00882238030282963,0.966383523178114,0.0199945029333377
2058,NaN,NaN,NaN,0.10274704413772,0.646116665149332,-0.0095404811685571,0.103159419206969,0.643356872481354,-0.00871278154164043,0.966138207633007,0.0201568361705546
2059,NaN,NaN,NaN,0.103365606775472,0.648119056162034,-0.00938135183084385,0.103736287386799,0.651978874818718,-0.00851179637851042,0.96591703605557,0.0203257698659246
2060,NaN,NaN,NaN,0.103979427592555,0.659648265110479,-0.00856321511474653,0.104341070851482,0.660076612885913,-0.00823811145925217,0.965735014577555,0.0204924675705908
2061,NaN,NaN,NaN,0.105079726654126,0.66770614891836,-0.00770648196709348,0.104950714744993,0.667611100127514,-0.00791820976821652,0.965531580654971,0.020646836289132
2062,NaN,NaN,NaN,0.105880014038506,0.680500537246452,-0.00732194115272083,0.105539322053497,0.674534127494888,-0.00758187099391796,0.9652624059668,0.0207785647329078
